"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AY1","AY2","GA1","GA2","GA3","GE1","GF1","KA1","MA1","MD1","MW1","OD1","REM","EQD"
"56586099999","2019-01-07T09:00:00","4","27.3333333","103.75","1950.0","ZHAOTONG, CH","FM-12","99999","V020","320,1,N,0010,1","22000,1,9,N","015000,1,9,9","+0154,1","-0004,1","99999,9",,,,,"02,1,+99999,9,99,9",,,"9,MSL   ,+99999,+99999","02,99,1,02,1,99,9,99999,9,99,9,99,9",,"99999,9,08034,1","7,1,009,1,+999,9",,,"SYN05856586 32965 23201 10154 21004 38034 57009 82/// 333 00154=",
"56586099999","2019-01-07T12:00:00","4","27.3333333","103.75","1950.0","ZHAOTONG, CH","FM-12","99999","V020","020,1,N,0030,1","99999,9,9,N","016000,1,9,9","+0029,2","-0018,1","99999,9",,,,,,,,,,,"99999,9,08059,1","2,1,025,1,+999,9",,,"SYN05256586 32966 00203 10029 21018 38059 52025 333 00262=",
"56586099999","2019-01-07T18:00:00","4","27.3333333","103.75","1950.0","ZHAOTONG, CH","FM-12","99999","V020","340,1,N,0020,1","00240,1,W,N","025000,1,9,9","-0003,1","-0017,1","99999,9",,,,,,,,,"09,99,1,99,9,99,9,99999,9,99,9,99,9","120,M,+0201,1","99999,9,08090,1","2,1,006,1,+999,9",,,"SYN05856586 32/75 93402 11003 21017 38090 52006 333 00453 10201=",
"56586099999","2019-01-07T21:00:00","4","27.3333333","103.75","1950.0","ZHAOTONG, CH","FM-12","99999","V020","090,1,N,0020,1","00240,1,W,N","026000,1,9,9","-0003,1","-0017,1","99999,9",,,,,,,,,"09,99,1,99,9,99,9,99999,9,99,9,99,9",,"99999,9,08076,1","7,1,014,1,+999,9",,,"SYN05256586 32/76 90902 11003 21017 38076 57014 333 00251=",
"56586099999","2019-01-08T00:00:00","4","27.3333333","103.75","1950.0","ZHAOTONG, CH","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","019000,1,9,9","+0001,1","-0018,1","99999,9",,,,,"08,1,+00450,1,99,9",,,"9,MSL   ,+99999,+99999","08,99,1,08,1,99,9,00450,1,99,9,99,9",,"99999,9,08083,1","2,1,007,1,+999,9",,,"SYN06456586 32469 80000 10001 21018 38083 52007 88/// 333 00201 30012=",
"56586099999","2019-01-08T03:00:00","4","27.3333333","103.75","1950.0","ZHAOTONG, CH","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","011000,1,9,9","+0018,1","-0011,1","99999,9",,,,,"08,1,+00450,1,99,9",,,"9,MSL   ,+99999,+99999","08,99,1,08,1,99,9,00450,1,99,9,99,9",,"99999,9,08092,1","2,1,009,1,+999,9",,,"SYN04856586 32461 80000 10018 21011 38092 52009 88///=",
"56586099999","2019-01-08T06:00:00","4","27.3333333","103.75","1950.0","ZHAOTONG, CH","FM-12","99999","V020","090,1,N,0010,1","99999,9,9,N","008000,1,9,9","+0047,1","+0008,1","99999,9",,,,,"08,1,+00450,1,99,9",,,"9,MSL   ,+99999,+99999","08,99,1,08,1,99,9,00450,1,99,9,99,9","240,N,-0005,1","99999,9,08059,1","7,1,033,1,+999,9",,,"SYN06456586 32458 80901 10047 20008 38059 57033 88/// 333 00264 21005=",
"56586099999","2019-01-08T09:00:00","4","27.3333333","103.75","1950.0","ZHAOTONG, CH","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","007000,1,9,9","+0069,1","+0024,1","99999,9",,,,,"08,1,+00450,1,99,9",,,"9,MSL   ,+99999,+99999","08,99,1,08,1,99,9,00450,1,99,9,99,9",,"99999,9,08033,1","7,1,026,1,+999,9",,,"SYN05856586 32457 80000 10069 20024 38033 57026 88/// 333 00059=",
"56586099999","2019-01-08T12:00:00","4","27.3333333","103.75","1950.0","ZHAOTONG, CH","FM-12","99999","V020","999,9,C,9999,9","99999,9,9,N","009000,1,9,9","+0066,1","+0043,1","99999,9",,,,,"08,1,+00450,1,99,9",,,"9,MSL   ,+99999,+99999","08,99,1,08,1,99,9,00450,1,99,9,99,9",,"99999,9,08047,1","2,1,014,1,+999,9",,,"SYN05856586 32459 80000 10066 20043 38047 52014 88/// 333 05104=",
"56586099999","2019-01-08T18:00:00","4","27.3333333","103.75","1950.0","ZHAOTONG, CH","FM-12","99999","V020","360,1,N,0010,1","00240,1,W,N","015000,1,9,9","+0013,1","-0002,1","99999,9",,,,,,,,,"09,99,1,99,9,99,9,99999,9,99,9,99,9","120,M,+0075,1","99999,9,08046,1","7,1,008,1,+999,9",,,"SYN05856586 32/65 93601 10013 21002 38046 57008 333 05402 10075=",
